b20_vol_count,date,equity_before,kind,level,price,regime,target_position,type,weighted_b20_vol
3,2017-04-26,10000000.00,,19251.3008,19289.4297,bull,0.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2936
5,2017-05-11,10000000.00,,19938.5293,19961.5508,bull,0.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1489
3,2017-06-02,10000000.00,,19998.4902,20177.2793,bull,0.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0750
3,2017-09-13,10000000.00,,19792.0605,19865.8203,range,0.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0658
,2017-09-19,10000000.00,,,20299.3809,bull,0.35,ETF_D3_TRIAL,
,2017-09-20,10000000.00,,,20301.3301,,0.35,execute,
3,2017-09-21,10007956.44,,,20347.4805,bull,0.80,ETF_D5_ADD_NORMAL,0.0658
,2017-09-22,10019357.23,,,20413.6094,,0.80,execute,
4,2017-10-03,10098069.02,,20481.2695,20614.0703,bull,0.80,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.3582
4,2017-10-11,10202985.87,,,20881.2695,bull,1.00,ETF_D5_ADD_STRONG,0.3582
,2017-10-12,10233184.95,,,20958.1797,,1.00,execute,
5,2017-10-12,10231496.05,,20898.4102,20954.7207,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2755
9,2017-10-23,10593755.74,,21503.8496,21696.6504,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2697
11,2017-11-01,10946982.49,,22086.8809,22420.0801,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.4809
11,2017-11-09,11166034.08,,,22868.7109,bull,1.00,ETF_D5_ADD_STRONG,0.4809
,2017-11-10,11025407.50,,,22580.6992,,1.00,execute,
13,2018-01-04,11477362.39,,23382.1504,23506.3301,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.3783
2,2018-01-23,11779023.58,,24084.4199,24124.1504,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0485
,2018-02-13,10373073.41,20d,,21244.6797,bull,0.60,ETF_D5_SUPPORT_FAIL_REDUCE,
,2018-02-14,10376276.71,,,21251.2402,,0.60,execute,
,2018-03-28,10311846.08,,,21031.3105,bull,0.80,ETF_D3_SUPPORT_RECLAIM_RESTORE,
,2018-03-29,10376194.89,,,21250.9609,,0.80,execute,
1,2018-04-18,10730576.27,,21933.9902,22158.1992,bull,0.81,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1666
5,2018-04-27,10851538.16,,22381.6602,22467.8691,bull,0.81,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2999
5,2018-05-09,10828496.42,,,22408.8809,bull,1.00,ETF_D5_ADD_STRONG,0.2999
,2018-05-10,10857257.02,,,22482.5098,,1.00,execute,
3,2018-05-11,10990528.83,,22568.1895,22758.4805,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0773
1,2018-05-21,11108307.59,,22954.1895,23002.3691,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0251
,2018-06-22,10873830.99,,,22516.8301,range,0.75,ETF_REGIME_CAP_REDUCE,
,2018-06-25,10886739.67,,,22543.5605,,0.75,execute,
5,2018-09-14,11086346.04,,23032.1699,23094.6699,range,0.75,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2157
4,2018-09-26,11426485.71,,23971.4102,24033.7891,bull,0.76,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0751
,2018-12-17,10511264.54,,,21506.8809,bear,0.25,ETF_REGIME_CAP_REDUCE,
,2018-12-18,10427464.21,,,21275.5098,,0.25,execute,
5,2019-02-13,10411409.33,,20981.2305,21144.4805,bear,0.25,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.4022
,2019-02-20,10446576.34,,,21431.4902,bear,0.00,ETF_D5_BREAKOUT_FAIL_TRIM,
,2019-02-21,10445451.56,,,21422.3105,,0.00,execute,
1,2019-04-05,10445451.56,,21787.5996,21807.5000,range,-0.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0157
5,2019-04-15,10445451.56,,21900.5508,22169.1094,range,-0.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2968
,2019-04-18,10445451.56,,,22090.1191,range,0.25,ETF_D3_TRIAL,
,2019-04-19,10445451.56,,,22238.0703,,0.25,execute,
5,2019-04-22,10443083.06,,,22217.9004,range,0.75,ETF_D5_ADD_STRONG,0.2968
,2019-04-23,10445882.51,,,22241.7402,,0.75,execute,
1,2019-06-20,10171530.17,,21358.7207,21462.8594,range,0.74,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0157
,2019-06-27,10127609.66,,,21338.1699,range,0.56,ETF_D5_BREAKOUT_FAIL_TRIM,
,2019-06-28,10107902.16,,,21282.2207,,0.56,execute,
8,2019-07-01,10226268.66,,21497.8203,21729.9707,range,0.56,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1590
8,2019-07-08,10174554.57,,,21534.3496,range,0.75,ETF_D5_ADD_STRONG,0.1590
,2019-07-09,10191420.84,,,21598.1504,,0.75,execute,
15,2019-09-05,10010149.86,,20782.0605,21085.9395,range,0.75,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.5266
11,2019-09-13,10329490.56,,21825.9199,21988.2891,range,0.75,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1867
